,No.,Names,Party Name,	Constituency (State),profile Links
218,219,"Lal, ShriAkshaibar",Bharatiya Janata Party,Bahraich (SC)(Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5136
219,220,"Lal, Shri Pakauri",Apna Dal (Soneylal),Robertsganj (SC)(Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4310
220,221,"Lalrosanga, Shri C.",Mizo National Front,Mizoram (ST)(Mizoram),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5527
221,222,"Lalwani, Shri Shankar",Bharatiya Janata Party,Indore (Madhya Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5065
222,223,"Lavu, Shri Sri Krishna Devarayalu",Yuvajana Sramika Rythu Congress Party,Narasaraopet (Andhra Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5096
223,224,"Lekhi, Smt. Meenakashi",Bharatiya Janata Party,New Delhi (NCT of Delhi),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4717
224,225,"Lokhande, Shri Sadashiv Kisan",Shiv Sena,Shirdi (SC)(Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4733
225,226,"Lone, Shri Mohammad Akbar",Jammu and Kashmir National Conference,Baramulla (Jammu and Kashmir),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5005
226,227,"Maadam, Smt. Poonamben Hematbhai",Bharatiya Janata Party,Jamnagar (Gujarat),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4751
227,228,"Madhav, Shri Kuruva Gorantla",Yuvajana Sramika Rythu Congress Party,Hindupur (Andhra Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5092
228,229,"Madhavi, Smt. Goddeti",Yuvajana Sramika Rythu Congress Party,Araku (ST)(Andhra Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5088
229,230,"Mahajan, Smt. PoonamPramod",Bharatiya Janata Party,Mumbai-North-Central (Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4660
230,231,"Mahant, Smt. Jyotsna Charandas",Indian National Congress,Korba (Chhattisgarh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5011
231,232,"Mahaswamiji, Dr. Jaisiddeshwar Shivacharya",Bharatiya Janata Party,Solapur (SC)(Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5194
232,233,"Mahato, Shri Bidyut Baran",Bharatiya Janata Party,Jamshedpur (Jharkhand),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4705
233,234,"Mahato, ShriJyotirmay Singh",Bharatiya Janata Party,Purulia (West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5053
234,235,"Mahtab, Shri Bhartruhari",Biju Janata Dal,Cuttack (Odisha),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=225
235,236,"Majhi, Shri Ramesh Chandra",Biju Janata Dal,Nabarangpur (ST)(Odisha),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4998
236,237,"Majumdar, Dr. Sukanta",Bharatiya Janata Party,Balurghat (West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5035
237,238,"Mal, ShriAsit Kumar",All India Trinamool Congress,Bolpur (SC)(West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5040
238,239,"Mallah, Shri Kripanath",Bharatiya Janata Party,Karimganj (SC)(Assam),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5106
239,240,"Mallick, Dr.Rajashree",Biju Janata Dal,Jagatsinghpur (SC)(Odisha),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4990
240,241,"Maloth, Smt. Kavitha",Telangana Rashtra Samithi,Mahabubabad (ST)(Telangana),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5077
241,242,"Mandal, Shri Ajay Kumar",Janata Dal (United),Bhagalpur (Bihar),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5170
242,243,"Mandal, Smt. Manjulata",Biju Janata Dal,Bhadrak (SC)(Odisha),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4987
243,244,"Mandal, Shri Ramprit",Janata Dal (United),Jhanjharpur (Bihar),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5214
244,245,"Mandavi, Shri Mohan",Bharatiya Janata Party,Kanker (ST)(Chhattisgarh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5010
245,246,"Mandlik, Prof. Sanjay Sadashivrao",Shiv Sena,Kolhapur (Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5192
246,247,"Mane, Shri DhairyasheelS.",Shiv Sena,Hatkanangle (Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5187
247,248,"Manne, Shri Srinivas Reddy",Telangana Rashtra Samithi,Mahabubnagar (Telangana),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5078
248,249,"Maran, Thiru Dayanidhi",Dravida Munnetra Kazhagam,Chennai Central (Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4144
249,250,"Margani, Shri Bharat Ram",Yuvajana Sramika Rythu Congress Party,Rajahmundry (Andhra Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5098
250,251,"Masoodi, Shri Hasnain",Jammu and Kashmir National Conference,Anantnag (Jammu and Kashmir),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5004
251,252,"Maurya, Dr.Sanghamitra",Bharatiya Janata Party,Badaun (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5135
252,253,"Meena, Shri Arjunlal",Bharatiya Janata Party,Udaipur (ST)(Rajasthan),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4755
253,254,"Meena, Smt. Jaskaur",Bharatiya Janata Party,Dausa (ST)(Rajasthan),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=247
254,255,"Meghwal, Shri Arjun Ram ",Bharatiya Janata Party,Bikaner (SC)(Rajasthan),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4399
255,256,"Mendhe, Shri Sunil Baburao",Bharatiya Janata Party,Bhandara-Gondiya (Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5188
256,257,"Mishra, Shri Janardan",Bharatiya Janata Party,Rewa (Madhya Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4728
257,258,"Misra, Shri Ajay (Teni)",Bharatiya Janata Party,Kheri (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4696
258,259,"Misra, Shri Pinaki",Biju Janata Dal,Puri (Odisha),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=3724
259,260,"Modi, Shri Narendra Damodardas",Bharatiya Janata Party,Varanasi (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4589
260,261,"Mohammed, Shri Faizal P.P.",Nationalist Congress Party,Lakshadweep (ST)(Lakshadweep),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4786
261,262,"Mohan, Shri P. C.",Bharatiya Janata Party,Bangalore Central (Karnataka),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4321
262,263,"Mohanty, Shri Anubhav",Biju Janata Dal,Kendrapara (Odisha),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4994
263,264,"Moitra, Smt. Mahua",All India Trinamool Congress,Krishnanagar (West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5049
264,265,"Mondal, Smt. Pratima",All India Trinamool Congress,Jaynagar (SC)(West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4871
265,266,"Mondal, Shri Sunil Kumar",All India Trinamool Congress,Bardhaman Purba (SC)(West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4868
266,267,"Munda, Shri Arjun ",Bharatiya Janata Party,Khunti (ST)(Jharkhand),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4327
267,268,"Munde, Dr. Pritam Gopinath Rao",Bharatiya Janata Party,Beed (Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4928
268,269,"Muniswamy, Shri S.",Bharatiya Janata Party,Kolar (SC)(Karnataka),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5179
269,270,"Munjpara, Dr. Mahendrabhai Kalubhai",Bharatiya Janata Party,Surendranagar (Gujarat),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5027
270,271,"Muraleedharan, Shri K.",Indian National Congress,Vadakara (Kerala),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=262
271,272,"Murmu, Ms. Chandrani",Biju Janata Dal,Keonjhar (ST)(Odisha),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4995
272,273,"Murmu, ShriKhagen",Bharatiya Janata Party,Maldaha Uttar (West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5050
273,274,"Nagar, Shri Malook",Bahujan Samaj Party,Bijnor (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5139
274,275,"Nagar, Shri Rodmal",Bharatiya Janata Party,Rajgarh (Madhya Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4702
275,276,"Naik, Shri Raja Amareshwara",Bharatiya Janata Party,Raichur (ST)(Karnataka),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5181
276,277,"Naik, Shri Shripad Yesso",Bharatiya Janata Party,North Goa (Goa),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=273
277,278,"Naik Nimbalkar, Shri Ranjeetsingh",Bharatiya Janata Party,Madha (Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5193
278,279,"Nallakonda Gari, Shri Reddeppa",Yuvajana Sramika Rythu Congress Party,Chittoor (SC)(Andhra Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5090
279,280,"Namgyal, Shri Jamyang Tsering",Bharatiya Janata Party,Ladakh (Ladakh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5006
280,281,"Natarajan, Shri P.R.",Communist Party of India (Marxist),Coimbatore (Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4543
281,282,"Nath, Shri Balak",Bharatiya Janata Party,Alwar (Rajasthan),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5204
282,283,"Nath, Shri Nakul K.",Indian National Congress,Chhindwara (Madhya Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5060
283,284,"Nete, Shri Ashok Mahadeorao",Bharatiya Janata Party,Gadchiroli-Chimur (ST)(Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4748
284,285,"Nishad, Shri Ajay",Bharatiya Janata Party,Muzaffarpur (Bihar),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4715
285,286,"Nishad, Shri Praveen Kumar",Bharatiya Janata Party,Sant Kabir Nagar (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4947
286,287,"Nishank, Dr. Ramesh Pokhriyal",Bharatiya Janata Party,Hardwar (Uttarakhand),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4761
287,288,"Oja, Smt. Queen",Bharatiya Janata Party,Gauhati (Assam),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5104
288,289,"Oram, Shri Jual",Bharatiya Janata Party,Sundargarh (ST)(Odisha),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=279
289,290,"Owaisi, Shri Asaduddin",All India Majlis-E-Ittehadul Muslimeen,Hyderabad (Telangana),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4091
290,291,"Paarivendhar, Dr. T. R.",Dravida Munnetra Kazhagam,Perambalur (Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4980
291,292,"Pachauri, Shri Satyadev",Bharatiya Janata Party,Kanpur (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5226
292,293,"Pal , Shri Jagdambika",Bharatiya Janata Party,Domariyaganj (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4295
293,294,"Pala, Shri Vincent H.",Indian National Congress,Shillong (ST)(Meghalaya),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4352
294,295,"Palanimanickam, Shri S.S.",Dravida Munnetra Kazhagam,Thanjavur (Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=284
295,296,"Panda, Shri Basanta Kumar",Bharatiya Janata Party,Kalahandi (Odisha),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4992
296,297,"Pandey, Dr. Mahendra Nath",Bharatiya Janata Party,Chandauli (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4917
297,298,"Pandey, ShriRitesh",Bahujan Samaj Party,Ambedkar Nagar (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5132
298,299,"Pandey, Shri Santosh",Bharatiya Janata Party,Rajnandgaon (Chhattisgarh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5015
299,300,"Paras, Shri Pashupati Kumar",Lok Jan Shakti Party,Hajipur (SC)(Bihar),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5212
300,301,"Parkash, Shri Som",Bharatiya Janata Party,Hoshiarpur (SC)(Punjab),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5166
301,302,"Parthiban, Shri S.R.",Dravida Munnetra Kazhagam,Salem (Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4976
302,303,"Pasunoori, Shri Dayakar",Telangana Rashtra Samithi,Warangal (SC)(Telangana),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4935
303,304,"Paswan, Shri Chhedi",Bharatiya Janata Party,Sasaram (SC)(Bihar),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=3361
304,305,"Paswan, Shri Chirag",Lok Jan Shakti Party,Jamui (SC)(Bihar),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4777
305,306,"Paswan, Shri Kamlesh ",Bharatiya Janata Party,Bansgaon (SC)(Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4303
306,307,"Patel, Smt. Anupriya",Apna Dal (Soneylal),Mirzapur (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4662
307,308,"Patel, Shri Devji Mansingram",Bharatiya Janata Party,Jalore (Rajasthan),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4411
308,309,"Patel, Shri Gajendra Singh",Bharatiya Janata Party,Khargone (ST)(Madhya Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5067
309,310,"Patel, Shri Hasmukhbhai Somabhai",Bharatiya Janata Party,Ahmedabad East (Gujarat),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5017
310,311,"Patel, Dr. K. C.",Bharatiya Janata Party,Valsad (ST)(Gujarat),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4818
311,312,"Patel, Smt.Keshari Devi",Bharatiya Janata Party,Phulpur (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5157
312,313,"Patel, Shri Lalubhai Babubhai",Bharatiya Janata Party,Daman and Diu (ST)(Dadra and Nagar Haveli and Daman and Diu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4364
313,314,"Patel, Shri Mitesh Rameshbhai",Bharatiya Janata Party,Anand (Gujarat),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5018
314,315,"Patel, Shri Parbatbhai Savabhai",Bharatiya Janata Party,Banaskantha (Gujarat),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5019
315,316,"Patel, Shri Prahlad Singh",Bharatiya Janata Party,Damoh (Madhya Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=306
316,317,"Patel, Shri R.K. Singh",Bharatiya Janata Party,Banda (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4331
317,318,"Patel, Smt. Sharda Anilkumar",Bharatiya Janata Party,Mahesana (Gujarat),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5022
318,319,"Pathak, Smt. Riti",Bharatiya Janata Party,Sidhi (Madhya Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4711
319,320,"Pathak, ShriSubrat",Bharatiya Janata Party,Kannauj (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5150
320,321,"Patil, Shri Bheemrao Baswanthrao",Telangana Rashtra Samithi,Zahirabad (Telangana),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4756
321,322,"Patil, Shri C. R.",Bharatiya Janata Party,Navsari (Gujarat),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4452
322,323,"Patil, Shri Gyaneshwar",Bharatiya Janata Party,Khandwa (Madhya Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5535
323,324,"Patil, Shri Hemant Shriram",Shiv Sena,Hingoli (Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5184
324,325,"Patil, Shri Kapil Moreshwar",Bharatiya Janata Party,Bhiwandi (Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4658
325,326,"Patil, Shri Sanjay(Kaka) Ramchandra",Bharatiya Janata Party,Sangli (Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4680
326,327,"Patil, Shri Shriniwas Dadasaheb",Nationalist Congress Party,Satara (Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=322
327,328,"Patil, Shri Unmesh Bhaiyyasaheb",Bharatiya Janata Party,Jalgaon (Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5186
328,329,"Pawar, Dr. Bharati Pravin",Bharatiya Janata Party,Dindori (ST)(Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5201
329,330,"Pfoze, Dr. Lorho S.",Naga Peoples Front,Outer Manipur (ST)(Manipur),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5001
330,331,"Poddar, Smt. Aparupa ",All India Trinamool Congress,Arambagh (SC)(West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4844
331,332,"Pon, Dr. Gautham Sigamani",Dravida Munnetra Kazhagam,Kallakurichi (Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4975
332,333,"Pothuganti, Shri Ramulu",Telangana Rashtra Samithi,Nagarkurnool (SC)(Telangana),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5080
333,334,"Prakash, Adv. Adoor",Indian National Congress,Attingal (Kerala),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5123
334,335,"Pramanik, Shri Nisith",Bharatiya Janata Party,Coochbehar (SC)(West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5041
335,336,"Prasad, Shri Chandeshwar",Janata Dal (United),Jahanabad (Bihar),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5213
336,337,"Prasad, Shri Ravi Shankar",Bharatiya Janata Party,Patna Sahib (Bihar),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5219
337,338,"Prasad, Shri V. Sreenivasa",Bharatiya Janata Party,Chamrajanagar (SC)(Karnataka),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=336
338,339,"Pratap Chandra Sarangi, Shri ",Bharatiya Janata Party,Balasore (Odisha),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4985
339,340,"Prathapan, Shri T.N.",Indian National Congress,Thrissur (Kerala),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5129
340,341,"Premachandran, Shri N.K.",Revolutionary Socialist Party,Kollam (Kerala),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=3754
341,342,"Prince Raj, Shri ",Lok Jan Shakti Party,Samastipur (SC)(Bihar),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5529
342,343,"Pujari, Shri Suresh Kumar",Bharatiya Janata Party,Bargarh (Odisha),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4986
343,344,"Raghavan, Shri M. K.",Indian National Congress,Kozhikode (Kerala),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4560
344,345,"Raghavendra, Shri B. Y.",Bharatiya Janata Party,Shimoga (Karnataka),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4570
345,346,"Rahaman, ShriKhalilur",All India Trinamool Congress,Jangipur (West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5046
346,347,"Rai, Shri Nityanand",Bharatiya Janata Party,Ujiarpur (Bihar),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4625
347,348,"Rajenimbalkar, Shri Omprakash Bhupalsingh alias Pavan",Shiv Sena,Osmanabad (Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5189
348,349,"Rajkumar, Dr. Ranjan Singh",Bharatiya Janata Party,Inner Manipur (Manipur),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5000
349,350,"Rajoria, Dr. Manoj",Bharatiya Janata Party,Karauli-Dholpur (SC)(Rajasthan),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4667
350,351,"Rajput, Shri Mukesh",Bharatiya Janata Party,Farrukhabad (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4666
351,352,"Ram, Shri Vishnu Dayal",Bharatiya Janata Party,Palamu (SC)(Jharkhand),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4731
352,353,"Ram Mohan Naidu, Shri Kinjarapu",Telugu Desam Party,Srikakulam (Andhra Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4771
353,354,"Ramalingam, Shri Sellaperumal",Dravida Munnetra Kazhagam,Mayiladuthurai (Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4974
354,355,"Ramesh, Shri T.R.V.S.",Dravida Munnetra Kazhagam,Cuddalore (Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4970
355,356,"Rana, Smt Navneet Ravi",Independent,Amravati (SC)(Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5191
356,357,"Rangaiah, Dr. Talari",Yuvajana Sramika Rythu Congress Party,Anantapur (Andhra Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5087
357,358,"Rao, Shri Nama Nageswara",Telangana Rashtra Samithi,Khammam (Telangana),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4323
358,359,"Rao, Shri Soyam Bapu",Bharatiya Janata Party,Adilabad (ST)(Telangana),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5073
359,360,Rao Inderjit Singh,Bharatiya Janata Party,Gurgaon (Haryana),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=3904
360,361,"Rathod, Shri Dipsinh Shankarsinh",Bharatiya Janata Party,Sabarkantha (Gujarat),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4691
361,362,"Rathod, Shri Ratansinh Magansinh",Bharatiya Janata Party,Panchmahal (Gujarat),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5023
362,363,"Rathore, Col. Rajyavardhan Singh",Bharatiya Janata Party,Jaipur Rural (Rajasthan),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4782
363,364,"Rathva, Smt. Gitaben Vajesingbhai",Bharatiya Janata Party,Chhota Udaipur (ST)(Gujarat),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5020
364,365,"Raut, Shri Vinayak Bhaurao",Shiv Sena,Ratnagiri-Sindhudurg (Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4765
365,366,"Ravikumar, Dr. D.",Dravida Munnetra Kazhagam,Viluppuram (SC)(Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4972
366,367,"Ravindhranath, Shri P.",All India Anna Dravida Munnetra Kazhagam,Theni (Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4964
367,368,"Rawat, Shri Ashok Kumar",Bharatiya Janata Party,Misrikh (SC)(Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4096
368,369,"Rawat, Shri Tirath Singh",Bharatiya Janata Party,Garhwal (Uttarakhand),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5002
369,370,"Rawat, ShriUpendra Singh",Bharatiya Janata Party,Barabanki (SC)(Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5137
370,371,"Ray, Smt. Sandhya",Bharatiya Janata Party,Bhind (SC)(Madhya Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5058
371,372,"Ray, Prof. Sougata",All India Trinamool Congress,Dum Dum (West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=2554
372,373,"Reddy, Shri Adala Prabhakara",Yuvajana Sramika Rythu Congress Party,Nellore (Andhra Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5100
373,374,"Reddy, Shri Anumula Revanth",Indian National Congress,Malkajgiri (Telangana),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5079
374,375,"Reddy, Dr.Gaddam Ranjith",Telangana Rashtra Samithi,Chevella (Telangana),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5075
375,376,"Reddy, ShriKomati Reddy Venkat",Indian National Congress,Bhongir (Telangana),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5074
376,377,"Reddy, Shri Kotha Prabhakar ",Telangana Rashtra Samithi,Medak (Telangana),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4926
377,378,"Reddy, Shri Magunta Sreenivasulu",Yuvajana Sramika Rythu Congress Party,Ongole (Andhra Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=3907
